id,x,y
148,664287.10123083,2726887.599019336
149,664291.8159157773,2726899.839223897
150,644165.9919280009,2727193.497801628
151,660277.5471008541,2727587.761809366
152,660280.8186467346,2727425.228346931
153,660292.104993416,2727426.1781873107
154,660286.7912065182,2727592.863976985
155,660256.4407748263,2727806.325489892
156,660243.8996814871,2727808.872468967
157,643039.6574074524,2728226.154914897
158,660064.1732343733,2728372.7040637527
159,660238.2620180389,2727836.022655453
160,660249.3541598748,2727836.228111884
161,660075.6847403832,2728375.129561456
162,662937.3851595148,2728443.812148292
163,662944.2952487431,2728452.743524108
164,643505.6165161096,2728547.407998761
165,642029.2473814525,2728552.9765583817
166,642046.3779300181,2728554.4254367147
167,660063.4609511774,2728435.4004709795
168,660030.7567293365,2728711.207557397
169,660018.3648102749,2728718.4528823798
170,660051.6744426088,2728433.126883941
171,642712.1807315247,2728819.71347061
172,666226.7546277642,2728280.033469649
173,666456.8930623261,2728830.641523082
174,666458.6653501987,2728839.014781337
175,666435.7359300777,2728842.5837012194
176,667659.0922937505,2723743.209787609
177,642704.1420952966,2728842.613023307
178,666437.7391509777,2728851.114800675
179,664112.5049512209,2729126.463448733
180,664098.383966798,2729126.5291995
181,664349.4158253008,2729149.9898409937
182,660028.3699252661,2728781.3170874324
183,660115.0155401248,2729334.329513553
184,660105.117807678,2729338.61280706
185,660016.8481141683,2728784.2082549743
186,660187.1812183922,2729521.3486657403
187,660201.4646860464,2729555.3857578523
188,660198.5959090376,2729580.3304373845
189,660175.8732103575,2729526.81190769
190,655981.3382426212,2729581.194188725
191,654364.6732104728,2728575.8619480208
192,655999.971506956,2729577.582169041
193,656009.3580209985,2729598.8324837256
194,655986.5419352995,2729608.9990316704
195,666631.448452971,2729618.7884761915
196,656876.8607806358,2729747.3726834524
197,656853.568985384,2729747.6411925163
198,660313.5552698746,2729817.899591919
199,660304.7733121645,2729822.871285407
200,660356.6587171648,2729868.9954317287
201,646582.4378451919,2728544.2026625425
202,648327.1941143926,2729874.633478048
203,660580.5914344406,2729883.0148418546
204,660586.2557567982,2729893.82470548
205,660305.0213569896,2729896.057442421
206,660466.9089541016,2729917.2120963
207,660460.4319659043,2729931.1713347733
208,660375.4539812803,2729951.345779488
209,664368.7948407503,2729954.121092512
210,660374.6776178041,2729954.5933414903
211,660393.172087376,2729955.205762293
212,660367.3917267304,2729955.3510004207
213,660353.4456698243,2729962.278954314
214,660359.3639974501,2729963.377442714
215,660372.0087019987,2729965.7166813947
216,660353.5429672385,2729974.8852875046
217,664430.2753515635,2729984.6347930096
218,660305.9535919409,2729998.515967397
219,660426.9185141288,2729999.6696319133
220,664384.8441131338,2730004.8326330017
221,664371.4985003313,2730009.581657652
222,664387.3658865727,2730012.3947521485
223,660251.0291283596,2730013.156515852
224,664374.1931059528,2730017.079359285
225,643154.1298318943,2730039.71615118
226,643253.8786262209,2729901.2465451304
227,660373.8896673648,2730044.703744497
228,643147.0478214351,2730049.323345628
229,647706.3110447098,2730080.2205770425
230,643320.4485946838,2730301.1040326096
231,643308.8355332464,2730303.5869354643
232,644724.3141300818,2730316.303324288
233,644735.8941049231,2730345.4193864446
234,644751.8441985305,2730334.467980245
235,644739.7762740869,2730354.530992519
236,644751.7202984625,2730346.348538313
237,660521.9582678303,2730470.3626709096
238,660392.6749567566,2730027.1427712347
239,660403.5812259503,2730023.1371978223
240,660532.862834028,2730470.854317706
241,643691.7199755209,2730763.658142021
242,644500.2216703547,2730178.2585813515
