id,x,y
158,340483.24607371073,4293051.8365617655
159,340733.1861524284,4293133.44338372
160,342405.09925888944,4293148.322773987
161,336580.50614451896,4293149.1002319455
162,340677.180359764,4293156.893101841
163,338895.4843189698,4293202.434904311
164,340382.8774713641,4293227.904471584
165,340601.24816326145,4292459.46607364
166,340377.61435984727,4293232.417860467
167,340774.1046198299,4293234.920505904
168,340404.27593818866,4293240.919611877
169,340337.9706944674,4293266.432806624
170,340273.08518504165,4293196.537261367
171,340780.0278775478,4293275.047894981
172,340652.63691463694,4293280.432957077
173,340654.28396292124,4293282.82024252
174,341523.1945370538,4293132.523968445
175,341552.7601559441,4293284.524528338
176,340316.5158248292,4293287.803120008
177,341422.2906947974,4293154.365958758
178,341447.89138913155,4293290.502430407
179,341342.4934310233,4293296.525597442
180,340955.58518032543,4292349.04851225
181,338608.03251633607,4293321.703211673
182,342276.90280541684,4293337.3513010815
183,340800.2905958742,4293345.497178251
184,340958.95061973017,4293330.984017372
185,340206.05772527214,4293349.488456639
186,340484.8092239257,4293356.099498423
187,340681.4734489536,4293370.982982527
188,344694.31257487927,4293373.065420516
189,340514.0781183578,4293377.616758389
190,340516.51976493,4293378.888929088
191,341467.625241071,4293400.954237144
192,341573.1946642576,4293401.857087707
193,338631.39618828427,4293412.069514569
194,342659.9708869634,4293428.521315705
195,340673.6059739888,4293441.951738883
196,340421.9867898375,4293468.429481933
197,342610.58772995137,4293524.93438071
198,342741.40112649,4293529.804561291
199,341379.5218135761,4293534.41974269
200,342608.2684718594,4293538.591682641
201,342734.459352402,4293569.421533659
202,342779.0315281404,4293590.388500953
203,340706.9037181493,4293601.158315405
204,340745.02612061147,4293603.991168501
205,339102.01927366015,4293605.522487123
206,340513.0192652028,4293610.599544652
207,342100.3013543636,4293618.449526507
208,338870.29201578256,4293626.872906927
209,339028.5018851776,4293546.281120762
210,338041.84993190784,4293647.92705325
211,338694.9485808164,4293657.898934461
212,342710.3462273041,4293678.889613504
213,338714.54737613164,4293733.708748112
214,338731.043328275,4293797.535349663
215,339298.798816856,4293835.38000701
216,339308.83002275415,4293838.496724039
217,339289.68975254614,4293840.471589554
218,338245.7575122174,4293884.853616189
219,337774.6050745324,4293885.912663443
220,338914.93272309005,4293997.368906384
221,338345.0053073,4294000.176189799
222,338747.520513868,4294082.202770725
223,338516.3990223007,4294199.333677787
224,338839.3437200393,4294314.358249845
225,339437.45406835247,4294433.187208749
226,339424.5703795189,4294439.809409745
227,344702.36573648546,4294482.470060052
228,344656.3389958329,4294263.68982378
229,339062.141572495,4294573.380975144
230,338759.0330916485,4294672.801620137
231,339551.30954910256,4294939.391163187
232,339538.9627254978,4294944.592357822
233,339579.4334348915,4295032.972056164
234,339405.8455667179,4295131.285153225
235,338923.99450869765,4295159.630919039
236,339316.667888375,4295230.458302569
237,339484.38282919023,4295239.378704431
238,339388.5822917893,4295255.538289957
239,339750.9670630619,4295357.076051254
240,340405.1727160746,4295141.368505739
241,339736.00487025734,4295361.819042757
242,339613.4670982668,4295402.796865158
243,339417.39516398683,4295403.751304038
244,339333.6798639437,4295433.0679778345
245,342441.06482311524,4295435.465779914
246,342787.3967991676,4295370.246877259
247,339439.8622852396,4295462.495494742
248,339348.5103719607,4295473.791667311
249,342302.8221083153,4295479.766325109
250,342466.7022730932,4295498.384441838
251,339061.87129376456,4295588.113041777
252,351610.7503338177,4295690.014142845
253,351470.5841685133,4295688.205790667
254,343787.2655581264,4295751.578553407
255,342869.7130915122,4295381.207330411
256,353087.71093499195,4295754.5208567865
257,352965.67062047776,4295720.844496947
258,339122.790422054,4295765.740184376
259,345276.0711781485,4295767.507964248
260,351592.55796902813,4295778.290562604
261,339078.16454663686,4295780.667154228
262,342010.0006449353,4295783.752037536
263,339948.75149845425,4295800.915956654
264,352990.1481532734,4295801.7879628
265,351512.5041468032,4295807.208701907
266,343850.4064953467,4295767.233900588
267,351412.2510859845,4295811.460332936
268,350745.91750213504,4295532.57348373
269,339142.6350682443,4295819.34078924
270,338988.50583251007,4295841.839307644
271,351469.80101012345,4295853.901935671
272,341981.0123806149,4295839.851764757
273,341961.7415278284,4296007.414360976
274,352945.39675381035,4296058.17536314
275,339238.564424472,4296081.03827611
276,342732.1465184139,4296087.815498346
277,353427.0458801193,4296091.475030694
278,339116.3884577062,4296104.486269048
279,342758.9717947934,4296110.032647381
280,342473.35642416496,4295525.031141399
281,345356.8990676543,4296111.941049608
282,352666.9210989978,4296164.463866808
283,345407.5923683308,4296166.397484336
284,345367.04734762665,4296170.862039827
285,345425.784250658,4296176.212721817
286,352654.9660159005,4296262.64639952
287,350435.53178849444,4296276.725746023
288,350475.0424162373,4296280.499741178
289,350652.4598223269,4296301.305735959
290,345370.4538437035,4296326.991176011
291,349867.598647655,4296338.138732728
292,349145.5677868873,4295202.011824457
293,352969.1217480628,4296340.038201632
294,350958.5925348392,4296343.888263408
295,353569.0775197428,4296352.204593565
296,351134.3948400235,4296366.300561868
297,351164.9512031833,4296370.234800335
298,351222.4030232625,4296382.546321694
299,351175.5261296639,4296274.950349012
300,349808.68831404485,4296385.259136349
301,352142.4263134208,4296399.8355261255
302,351305.3165886542,4296406.015777804
303,349822.9489305504,4296408.946984742
304,352885.54711472057,4296422.617414456
305,345975.65609520767,4296427.354736196
306,345466.94734458905,4296195.017528219
307,353702.9612494176,4296403.24511148
308,353719.0419817418,4296427.838379569
309,351238.9754800843,4296428.774049278
310,351244.5154170282,4296442.092180574
311,353580.1166048264,4296442.511904679
312,350005.18396174256,4296443.358034827
313,339364.004566432,4296445.948064856
314,350952.9369258033,4296447.951040588
315,339063.26153552067,4296450.341790561
316,338649.45457398053,4296449.172850361
317,338921.6824202789,4296450.638034657
318,341050.0749840839,4296451.2833420895
319,350157.9243871849,4296472.212902132
320,350471.6992137218,4296493.139208663
321,348113.61910633463,4296494.852181483
322,348343.7215203801,4296484.845526485
323,350631.7474075835,4296481.199667804
324,346149.0624126885,4296506.561028264
325,348238.9395617852,4296511.716697823
326,350413.282150358,4296520.45128393
327,353384.75377067085,4296531.467304619
328,351870.9984063003,4296533.065422803
